"","cliente","fecha","pago","id_sucursal","hora"
"154",74,2018-12-24,0,5,15
"155",75,2018-06-02,0,5,16
"156",78,2018-12-12,0,5,13
"157",79,2018-01-02,0,5,13
"158",49,2018-04-03,0,5,10
"159",11,2018-05-29,0,5,12
"160",60,2018-08-09,0,5,11
"161",26,2018-08-14,0,5,12
"162",11,2018-07-22,0,5,15
"163",3,2017-09-05,0,5,14
"164",29,2018-11-14,0,5,11
"165",11,2017-10-30,0,5,11
"166",31,2018-05-08,0,5,15
"167",26,2018-08-11,0,5,15
"168",62,2018-05-07,0,5,12
"169",15,2018-12-17,0,5,14
"170",41,2018-07-27,0,5,13
"171",37,2017-10-21,0,5,10
"172",57,2017-09-23,0,5,14
"173",12,2018-04-11,0,5,12
"174",82,2017-07-30,0,5,15
"175",63,2017-12-22,0,5,15
"176",83,NA,0,5,13
"177",85,2017-11-02,0,5,11
"178",86,2018-07-04,0,5,16
"179",11,2018-07-18,0,5,14
"180",87,2018-09-04,0,5,12
"181",34,2018-04-25,0,5,11
"182",12,2018-07-05,0,5,16
"183",65,2017-11-05,0,5,13
"184",17,2018-08-02,0,5,16
"185",88,2018-03-25,0,5,11
"186",74,2018-12-27,0,5,12
"187",89,2018-09-18,0,5,16
"188",90,2017-09-30,0,5,11
"189",65,2017-09-03,0,5,15
"190",71,2018-09-04,3900,5,13
"191",17,2018-01-23,0,5,16
"192",39,2018-08-14,0,5,16
"193",41,2018-12-13,0,5,12
"194",9,2018-05-30,0,5,13
"195",91,2017-10-16,0,5,16
"196",92,2017-09-15,0,5,12
"197",93,2018-12-18,0,5,16
"198",3,2017-09-07,0,5,15
"199",30,2018-08-20,0,5,13
"200",27,2018-12-02,0,5,11
"201",72,2018-04-03,0,5,12
"202",34,2018-10-06,0,5,12
"203",95,2018-08-15,277,5,11
"204",97,2018-11-05,0,5,13
"205",98,2017-12-10,0,5,14
"206",15,2018-11-06,0,5,16
"207",17,2018-03-24,0,5,12
"208",17,2018-01-15,0,5,15
"209",40,2018-07-08,0,5,10
"210",36,2018-01-17,0,5,14
"211",15,2018-05-31,0,5,14
"212",1,2018-02-11,0,5,16
"213",100,2018-05-20,0,5,17
"214",58,2018-05-17,0,5,14
"215",54,2017-10-14,0,5,11
"216",102,2018-05-10,0,5,11
"217",9,2018-09-26,0,5,13
"218",41,2018-03-23,0,5,12
"219",51,2018-04-05,0,5,12
"220",87,2017-10-01,0,5,13
"221",65,2017-10-14,0,5,10
"222",103,2018-09-26,0,5,10
"223",54,2017-11-18,0,5,16
"224",89,2018-02-07,0,5,11
"225",11,2018-07-21,0,5,10
"226",105,2017-12-14,0,5,12
"227",11,2018-02-24,0,5,16
"228",5,2018-08-28,0,5,10
"229",97,2018-11-02,0,5,12
"230",2,2018-07-16,0,5,14
"231",106,2018-10-17,0,5,12
"232",73,2017-10-09,0,5,15
"233",34,2018-10-14,0,5,12
"234",56,2018-01-30,0,5,12
"235",107,2017-12-18,0,5,12
"236",65,2017-11-01,0,5,10
"237",60,2018-12-11,0,5,14
"238",37,2017-11-24,0,5,14
"239",36,2018-01-24,0,5,11
"240",108,2018-02-23,0,5,11
"241",109,2018-12-23,228.2,5,9
"242",65,2017-11-15,0,5,13
"243",65,2017-07-16,0,5,13
"244",106,2018-03-25,0,5,15
"245",97,2018-12-09,0,5,14
"246",42,2018-11-27,0,5,16
"247",110,2018-04-12,0,5,15
"248",69,2017-10-20,0,5,10
"249",56,2018-01-19,0,5,14
"250",34,2018-12-10,0,5,12
"251",106,2018-12-10,0,5,15
"252",15,2018-05-13,0,5,15
"253",15,2018-07-24,0,5,16
"254",39,2018-12-12,0,5,11
"255",113,2018-07-05,0,5,13
"256",114,2018-11-06,0,5,13
"257",15,2018-11-26,0,5,13
"258",12,2017-12-20,0,5,11
"259",39,2018-08-11,0,5,12
"260",108,2018-02-13,0,5,14
"261",39,2018-07-06,0,5,14
"262",1,2018-03-02,0,5,15
"263",1,2018-03-28,0,5,10
"264",54,2017-09-26,0,5,14
"265",69,2017-09-17,0,5,10
"266",56,2018-01-28,0,5,16
"267",42,2018-10-20,0,5,16
"268",56,2018-01-29,0,5,12
"269",38,2018-07-04,0,5,12
"270",114,2018-04-21,0,5,13
"271",41,2018-01-29,0,5,16
"272",50,2018-03-09,473.54,5,11
"273",44,2018-11-01,0,5,13
"274",102,2018-05-20,0,5,10
"275",117,2017-12-26,0,5,10
"276",119,2018-07-03,0,5,13
"277",60,2018-05-14,0,5,12
"278",56,2017-09-19,0,5,13
"279",65,2017-10-09,0,5,10
"280",82,2017-08-03,0,5,15
"281",17,2018-08-05,0,5,16
"282",40,2018-02-18,0,5,13
"283",18,2017-11-15,0,5,13
"284",20,2017-10-30,371.89,5,12
"285",38,2018-04-27,540,5,16
"286",14,2017-08-14,0,5,15
"287",120,2018-01-08,0,5,16
"288",121,2018-07-23,0,5,12
"289",2,2018-06-21,200,5,11
"290",123,2018-08-25,0,5,12
"291",37,2017-11-08,0,5,12
"292",60,2018-02-08,0,5,10
"293",56,2018-01-28,0,5,11
"294",27,2018-02-01,0,5,11
"295",125,2018-11-16,0,5,12
"296",6,2018-05-27,0,5,13
"297",11,2018-07-02,0,5,10
"298",1,2018-07-19,0,5,12
"299",128,2018-10-17,0,5,11
"300",93,2018-01-12,0,5,16
"301",63,2018-01-05,0,5,13
"302",90,2017-08-29,2157.59,5,16
"303",42,2018-08-09,0,5,11
"304",44,2017-12-29,0,5,14
"305",36,2018-04-25,0,5,11
"306",58,2018-06-28,0,5,15
"307",117,2018-10-16,0,5,10
"308",44,2018-11-13,0,5,11
"309",27,2018-08-20,0,5,12
"310",129,2017-09-30,0,5,11
"311",36,2018-04-04,0,5,14
"312",90,2017-11-08,0,5,12
"313",130,2018-05-22,0,5,12
"314",131,2017-08-14,0,5,12
"315",110,2017-11-30,0,5,13
"316",132,2018-05-17,0,5,12
"317",133,2018-07-09,0,5,13
"318",91,2018-12-07,0,5,13
"319",27,2017-12-28,0,5,11
"320",109,2018-04-15,631.65,5,10
"321",134,2018-10-31,0,5,13
"322",135,2018-12-04,0,5,12
"323",136,2018-12-18,0,5,14
"324",65,2017-08-23,0,5,13
"325",119,2018-05-08,0,5,13
